parameter,comment,options,label
return_X_y,bool default=False If True returns ``(data target)`` instead of a Bunch object. See below for more information about the `data` and `target` object.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
as_frame,bool default=False If True the data is a pandas DataFrame including columns with appropriate dtypes (numeric). The target is a pandas DataFrame or Series depending on the number of target columns. If `return_X_y` is True then (`data` `target`) will be pandas DataFrames or Series as described below.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
return_X_y,bool default=False If True returns ``(data target)`` instead of a Bunch object. See below for more information about the `data` and `target` object.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
as_frame,bool default=False If True the data is a pandas DataFrame including columns with appropriate dtypes (numeric). The target is a pandas DataFrame or Series depending on the number of target columns. If `return_X_y` is True then (`data` `target`) will be pandas DataFrames or Series as described below.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
n_class,int default=10 The number of classes to return. Between 0 and 10.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
return_X_y,bool default=False If True returns ``(data target)`` instead of a Bunch object. See below for more information about the `data` and `target` object.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
as_frame,bool default=False If True the data is a pandas DataFrame including columns with appropriate dtypes (numeric). The target is a pandas DataFrame or Series depending on the number of target columns. If `return_X_y` is True then (`data` `target`) will be pandas DataFrames or Series as described below.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
return_X_y,bool default=False If True returns ``(data target)`` instead of a Bunch object. See below for more information about the `data` and `target` object.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
as_frame,bool default=False If True the data is a pandas DataFrame including columns with appropriate dtypes (numeric). The target is a pandas DataFrame or Series depending on the number of target columns. If `return_X_y` is True then (`data` `target`) will be pandas DataFrames or Series as described below.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
scaled,bool default=True If True the feature variables are mean centered and scaled by the standard deviation times the square root of `n_samples`. If False raw data is returned for the feature variables.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
return_X_y,bool default=False If True returns ``(data target)`` instead of a Bunch object. See below for more information about the `data` and `target` object.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
as_frame,bool default=False If True the data is a pandas DataFrame including columns with appropriate dtypes (numeric string or categorical). The target is a pandas DataFrame or Series depending on the number of target columns. If `return_X_y` is True then (`data` `target`) will be pandas DataFrames or Series as described below.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
image_name,{`china.jpg` `flower.jpg`} The name of the sample image loaded.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
remote,RemoteFileMetadata,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
dirname,str Directory to save the file to.,csv hashlib gzip shutil collections.namedtuple os os.environ os.listdir os.makedirs os.path.expanduser os.path.isdir os.path.join os.path.splitext pathlib.Path numbers.Integral preprocessing.scale utils.Bunch utils.check_random_state utils.check_pandas_support utils.fixes._open_binary utils.fixes._open_text utils.fixes._read_text utils.fixes._contents utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.StrOptions numpy urllib.request.urlretrieve PIL.Image,
X,array-like of shape (n_samples n_features) Training samples.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
Y,array-like of shape (n_samples) or (n_samples n_targets) Targets.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
X,array-like of shape (n_samples n_features) Samples to be transformed.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
Y,array-like of shape (n_samples) or (n_samples n_targets) default=None Targets.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
X,array-like of shape (n_samples n_components) New data where `n_samples` is the number of samples and `n_components` is the number of pls components.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
Y,array-like of shape (n_samples n_components) New target where `n_samples` is the number of samples and `n_components` is the number of pls components.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
X,array-like of shape (n_samples n_features) Samples.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
copy,bool default=True Whether to copy `X` and `Y` or perform in-place normalization.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
X,array-like of shape (n_samples n_features) Training samples.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
y,array-like of shape (n_samples) or (n_samples n_targets) default=None Targets.,numbers.Integral numbers.Real warnings abc.ABCMeta abc.abstractmethod numpy scipy.linalg.svd base.BaseEstimator base.RegressorMixin base.TransformerMixin base.MultiOutputMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_consistent_length utils.fixes.sp_version utils.fixes.parse_version utils.extmath.svd_flip utils.validation.check_is_fitted utils.validation.FLOAT_DTYPES utils._param_validation.Interval utils._param_validation.StrOptions exceptions.ConvergenceWarning scipy.linalg.pinv scipy.linalg.pinv2,
estimator,estimator object implementing 'fit' and 'predict' The object to use to fit the data.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
X,array-like of shape (n_samples n_features) The data to fit.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
y,array-like of shape (n_samples) or (n_samples n_outputs) or None The target variable to try to predict in the case of supervised learning.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
train,array-like of shape (n_train_samples) Indices of training samples.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
test,array-like of shape (n_test_samples) Indices of test samples.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
verbose,int The verbosity level.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
fit_params,dict or None Parameters that will be passed to ``estimator.fit``.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
method,str Invokes the passed method name of the passed estimator.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
indices,ndarray int array to test,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
n_samples,int number of expected elements,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
train_sizes,array-like of shape (n_ticks) Numbers of training examples that will be used to generate the learning curve. If the dtype is float it is regarded as a fraction of 'n_max_training_samples' i.e. it has to be within (0 1].,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
n_max_training_samples,int Maximum number of training samples (upper bound of 'train_sizes').,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
scores,list of dict List of dicts of the scores for all scorers. This is a flat list assumed originally to be of row major order.,warnings numbers time functools.partial numbers.Real traceback.format_exc contextlib.suppress collections.Counter numpy scipy.sparse joblib.logger base.is_classifier base.clone utils.indexable utils.check_random_state utils._safe_indexing utils.validation._check_fit_params utils.validation._num_samples utils.parallel.delayed utils.parallel.Parallel utils.metaestimators._safe_split utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.Integral utils._param_validation.StrOptions utils._param_validation.validate_params metrics.check_scoring metrics.get_scorer_names metrics._scorer._check_multimetric_scoring metrics._scorer._MultimetricScorer exceptions.FitFailedWarning _split.check_cv preprocessing.LabelEncoder,
X,object Always ignored exists for compatibility.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
y,object Always ignored exists for compatibility.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
groups,object Always ignored exists for compatibility.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
train,ndarray The training set indices for that split.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
test,"ndarray The testing set indices for that split. """"""",collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
cv,int cross-validation generator or an iterable default=None Determines the cross-validation splitting strategy.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
y,array-like default=None The target variable for supervised learning problems.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
classifier,bool default=False Whether the task is a classification task in which case stratified KFold will be used.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
params,dict The dictionary to pretty print,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
offset,int default=0 The offset in characters to add at the begin of each line.,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
printer,callable default=repr The function to convert entries to strings typically the builtin str or repr,collections.abc.Iterable collections.defaultdict warnings itertools.chain itertools.combinations math.ceil math.floor numbers abc.ABCMeta abc.abstractmethod inspect.signature numpy scipy.special.comb utils.indexable utils.check_random_state utils._safe_indexing utils._approximate_mode utils.validation._num_samples utils.validation.column_or_1d utils.validation.check_array utils.multiclass.type_of_target utils._param_validation.validate_params utils._param_validation.Interval utils._param_validation.RealNotInt,
X,array-like shape (n_samples n_features) Training vector where `n_samples` is the number of samples and `n_features` is the number of features.,copy.deepcopy math.ceil math.floor math.log abc.abstractmethod numbers.Integral numbers.Real numpy _search.BaseSearchCV None.ParameterGrid None.ParameterSampler base.is_classifier _split.check_cv _split._yields_constant_splits metrics._scorer.get_scorer_names utils.resample utils._param_validation.Interval utils._param_validation.StrOptions utils.multiclass.check_classification_targets utils.validation._num_samples,
y,array-like shape (n_samples) or (n_samples n_output) optional Target relative to X for classification or regression; None for unsupervised learning.,copy.deepcopy math.ceil math.floor math.log abc.abstractmethod numbers.Integral numbers.Real numpy _search.BaseSearchCV None.ParameterGrid None.ParameterSampler base.is_classifier _split.check_cv _split._yields_constant_splits metrics._scorer.get_scorer_names utils.resample utils._param_validation.Interval utils._param_validation.StrOptions utils.multiclass.check_classification_targets utils.validation._num_samples,
